month,new_merchants,end_merchants,average_subscribed_merchants,order_equivalent_merchants,orders,gmv_sar,revenue_sar,direct_costs_sar,gross_profit_sar,operating_expenses_sar,operating_profit_sar,cumulative_profit_sar
Month 1,6,6,3.00,2.40,1296.00,53136.00,3095.76,1817.93,1277.84,45000.00,-43722.17,-43722.17
Month 2,9,15,10.50,7.80,4212.00,172692.00,10248.72,2584.72,7663.99,50000.00,-42336.01,-86058.17
Month 3,13,28,21.50,16.90,9126.00,374166.00,21893.06,3980.43,17912.64,55000.00,-37087.36,-123145.54
Month 4,17,45,36.50,30.00,16200.00,664200.00,38447.00,6427.12,32019.88,65000.00,-32980.12,-156125.66
Month 5,23,68,56.50,47.80,25812.00,1058292.00,60844.72,9748.23,51096.50,75000.00,-23903.50,-180029.16
Month 6,30,98,83.00,71.40,38556.00,1580796.00,90536.36,14134.42,76401.93,85000.00,-8598.07,-188627.23
Month 7,40,138,118.00,102.70,55458.00,2273778.00,129878.98,19959.03,109919.95,100000.00,9919.95,-178707.27
Month 8,52,190,164.00,143.80,77652.00,3183732.00,181550.12,27589.23,153960.89,120000.00,33960.89,-144746.38
Month 9,65,255,222.50,196.40,106056.00,4348296.00,247586.36,37300.93,210285.43,140000.00,70285.43,-74460.95
Month 10,80,335,295.00,262.30,141642.00,5807322.00,330122.02,49418.73,280703.30,155000.00,125703.30,51242.35
Month 11,85,420,377.50,338.50,182790.00,7494390.00,425224.90,63171.62,362053.28,170000.00,192053.28,243295.63
Month 12,80,500,460.00,418.50,225990.00,9265590.00,524041.90,77291.62,446750.28,180000.00,266750.28,510045.90
